Comment,Designator,Qty Per Board,Footprint,MPN,LCSC,Assembly Class,Instructions
10uF 25V X5R,"C1,C8",2,C0805,CL21A106KAYNNNE,C15850,smt_placed,
100nF 16V X7R,"C2,C4,C6",3,C0402,CL05B104KO5NNNC,C1525,smt_placed,
47uF 16V X7R,C3,1,C1210,CS3225X7R476K160NRL,C5440143,smt_placed,
2.2uF 10V X7R,C5,1,C0603,CC0603KRX7R6BB225,C513691,smt_placed,
1nF 50V C0G/NP0,C7,1,C0603,CC0603JRNPO9BN102,C106246,smt_placed,
WJ500V-5.08-2P,J1,1,CONN-TH_2P-P5.00_WJ500V-5.08-2P,WJ500V-5.08-2P,C8465,smt_placed,
1x6P 2.54mm male header,J2,1,HDR-TH_6P-P2.54-V-M-1,2.54-1x6PStraight pin,C37208,smt_placed,
200K 0.02% 10ppm/C,"R1,R2,R3,R4,R5",5,R0805,PTFR0805Q200KN9,C23067436,smt_placed,
49.9 ohm 1%,R6,1,R0603,0603WAF499JT5E,C23185,smt_placed,
10 ohm 1%,R7,1,R0603,0603WAF100JT5E,C22859,smt_placed,
0 ohm 1%,R8,1,R0603,0603WAF0000T5E,C21189,smt_placed,
ADS8326IB,U1,1,VSSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,ADS8326IBDGKR,C544731,smt_placed,
ADR4520B,U2,1,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,ADR4520BRZ-R7,C579305,smt_placed,
OPA320,U3,1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,OPA320AIDBVR,C92494,smt_placed,
,"H1,H2,H3,H4",4,,,,board_feature,Realised in copper - nothing to buy or place.
