Comment,Designator,Footprint,LCSC
10uF 25V X5R,"C1,C8",C0805,C15850
100nF 16V X7R,"C2,C4,C6",C0402,C1525
47uF 16V X7R,C3,C1210,C5440143
2.2uF 10V X7R,C5,C0603,C513691
1nF 50V C0G/NP0,C7,C0603,C106246
WJ500V-5.08-2P,J1,CONN-TH_2P-P5.00_WJ500V-5.08-2P,C8465
1x6P 2.54mm male header,J2,HDR-TH_6P-P2.54-V-M-1,C37208
200K 0.02% 10ppm/C,"R1,R2,R3,R4,R5",R0805,C23067436
49.9 ohm 1%,R6,R0603,C23185
10 ohm 1%,R7,R0603,C22859
0 ohm 1%,R8,R0603,C21189
ADS8326IB,U1,VSSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,C544731
ADR4520B,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C579305
OPA320,U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C92494
