Designator,Mid X,Mid Y,Layer,Rotation
C1,68.0000,-34.9200,Top,270.0000
C2,63.3500,-38.8500,Top,0.0000
C3,56.8700,-35.2100,Top,90.0000
C4,56.6300,-19.9500,Top,90.0000
C5,55.3700,-30.7500,Top,270.0000
C6,40.9000,-34.4000,Top,90.0000
C7,54.2000,-39.6800,Top,180.0000
C8,63.3500,-35.6000,Top,270.0000
J1,24.5000,-39.0600,Top,270.0000
J2,70.5000,-40.0000,Top,270.0000
R1,32.8000,-41.6000,Top,0.0000
R2,36.8000,-41.6000,Top,0.0000
R3,40.8000,-41.6000,Top,0.0000
R4,44.8000,-41.6000,Top,0.0000
R5,48.8000,-41.6000,Top,0.0000
R6,46.0000,-36.6000,Top,0.0000
R7,63.3500,-32.0000,Top,270.0000
R8,49.8000,-44.3000,Top,270.0000
U1,59.0000,-40.0000,Top,270.0000
U2,56.0000,-25.0500,Top,90.0000
U3,41.8500,-37.9000,Top,90.0000
