Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF 25V X5R","C0805",68.000000,-34.920000,-90.000000,top
"C2","100nF 16V X7R","C0402",63.350000,-38.850000,0.000000,top
"C3","47uF 16V X7R","C1210",56.870000,-35.210000,90.000000,top
"C4","100nF 16V X7R","C0402",56.630000,-19.950000,90.000000,top
"C5","2.2uF 10V X7R","C0603",55.370000,-30.750000,-90.000000,top
"C6","100nF 16V X7R","C0402",40.900000,-34.400000,90.000000,top
"C7","1nF 50V C0G/NP0","C0603",54.200000,-39.680000,180.000000,top
"C8","10uF 25V X5R","C0805",63.350000,-35.600000,-90.000000,top
"J1","WJ500V-5.08-2P","CONN-TH_2P-P5.00_WJ500V-5.08-2P",24.500000,-39.060000,-90.000000,top
"J2","1x6P 2.54mm male header","HDR-TH_6P-P2.54-V-M-1",70.500000,-40.000000,-90.000000,top
"R1","200K 0.02% 10ppm/C","R0805",32.800000,-41.600000,0.000000,top
"R2","200K 0.02% 10ppm/C","R0805",36.800000,-41.600000,0.000000,top
"R3","200K 0.02% 10ppm/C","R0805",40.800000,-41.600000,0.000000,top
"R4","200K 0.02% 10ppm/C","R0805",44.800000,-41.600000,0.000000,top
"R5","200K 0.02% 10ppm/C","R0805",48.800000,-41.600000,0.000000,top
"R6","49.9 ohm 1%","R0603",46.000000,-36.600000,0.000000,top
"R7","10 ohm 1%","R0603",63.350000,-32.000000,-90.000000,top
"R8","0 ohm 1%","R0603",49.800000,-44.300000,-90.000000,top
"U1","ADS8326IB","VSSOP-8_L3.0-W3.0-P0.65-LS5.0-BL",59.000000,-40.000000,-90.000000,top
"U2","ADR4520B","SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL",56.000000,-25.050000,180.000000,top
"U3","OPA320","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR",41.850000,-37.900000,-90.000000,top
