Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF 50V X7R","C0603",35.510000,-25.900000,90.000000,top
"C2","10uF 25V X5R","C0805",42.000000,-38.600000,0.000000,top
"C3","100nF 50V X7R","C0603",44.980000,-28.400000,90.000000,top
"C4","100nF 50V X7R","C0603",40.300000,-36.600000,0.000000,top
"J1","KF128-5.08-3P","CONN-TH_3P-P5.08_KF128-5.08-3P",19.300000,-32.540000,-90.000000,top
"J2","KF128-5.08-2P","CONN-TH_P5.08_KF128-5.08-2P",54.680000,-30.500000,90.000000,top
"J3","KF128-5.08-2P","CONN-TH_P5.08_KF128-5.08-2P",42.000000,-45.500000,0.000000,top
"R1","1.27k 0.1% 25ppm","R0603",27.880000,-30.000000,-90.000000,top
"R2","121k 0.1% 25ppm","R0603",37.000000,-38.600000,0.000000,top
"R3","10.0k 0.1% 25ppm","R0603",37.000000,-36.600000,0.000000,top
"R4","24.9k 0.1% 25ppm","R0603",47.600000,-32.540000,-90.000000,top
"R5","10.0k 0.1% 25ppm","R0603",43.700000,-36.600000,180.000000,top
"U1","AD8226ARZ-R7","SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL",32.800000,-30.000000,-90.000000,top
"U2","OPA2333AIDR","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL",42.300000,-32.540000,-90.000000,top
