Comment,Designator,Qty Per Board,Footprint,MPN,LCSC,Assembly Class,Instructions
220nF 50V X7R,C1,1,C0603,CC0603KRX7R9BB224,C107083,smt_placed,
10uF 50V X7R,"C2,C3,C10",3,C1210,CS3225X7R106K500NRL,C2918502,smt_placed,
22uF 25V X7R,"C4,C5,C8,C9",4,C1210,CS3225X7R226K250NRL,C2918511,smt_placed,
100nF 50V X7R,C6,1,C0603,CC0603KRX7R9BB104,C14663,smt_placed,
1uF 25V X7R,C7,1,C0603,CC0603KRX7R8BB105,C106858,smt_placed,
15uH,L1,1,IND-SMD_L12.5-W12.5_RLF12545T,SMDRI127-150MT,C40000,smt_placed,
102k 0.1% 25ppm,R1,1,R0603,RT0603BRD07102KL,C861068,smt_placed,
25.5k 0.1% 25ppm,R2,1,R0603,RT0603BRD0725K5L,C861257,smt_placed,
LMR33630ADDAR,U1,1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,LMR33630ADDAR,C841384,smt_placed,
KF128-5.08-2P,J1,1,CONN-TH_P5.08_KF128-5.08-2P,KF128-5.08-2P-AA,C474952,hand_install,"THT screw terminal - hand-solder AFTER reflow. GND pin is flooded SOLID into the B.Cu pour (no thermal relief, deliberate - see fab/README-fab-notes.md); use a 60-80 W iron or preheat."
KF128-5.08-2P,J2,1,CONN-TH_P5.08_KF128-5.08-2P,KF128-5.08-2P-AA,C474952,hand_install,THT screw terminal - hand-solder AFTER reflow. Same solid-flood GND pin as J1; same iron/preheat note.
,"H1,H2,TP1,TP2",4,,,,board_feature,Realised in copper - nothing to buy or place.
