Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220nF 50V X7R","C0603",34.620000,-40.205000,90.000000,top
"C2","10uF 50V X7R","C1210",36.670000,-36.780000,0.000000,top
"C3","10uF 50V X7R","C1210",42.070000,-36.780000,0.000000,top
"C4","22uF 25V X7R","C1210",57.270000,-49.380000,180.000000,top
"C5","22uF 25V X7R","C1210",40.270000,-50.080000,0.000000,top
"C6","100nF 50V X7R","C0603",43.320000,-40.205000,90.000000,top
"C7","1uF 25V X7R","C0603",41.170000,-45.030000,180.000000,top
"C8","22uF 25V X7R","C1210",40.270000,-53.580000,0.000000,top
"C9","22uF 25V X7R","C1210",40.270000,-57.080000,0.000000,top
"C10","10uF 50V X7R","C1210",33.570000,-46.180000,180.000000,top
"J1","KF128-5.08-2P","CONN-TH_P5.08_KF128-5.08-2P",31.670000,-53.380000,-90.000000,top
"J2","KF128-5.08-2P","CONN-TH_P5.08_KF128-5.08-2P",48.770000,-53.880000,0.000000,top
"L1","15uH","IND-SMD_L12.5-W12.5_RLF12545T",52.670000,-41.230000,0.000000,top
"R1","102k 0.1% 25ppm","R0603",41.120000,-46.910000,0.000000,top
"R2","25.5k 0.1% 25ppm","R0603",38.020000,-46.910000,180.000000,top
"U1","LMR33630ADDAR","ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP",38.970000,-41.480000,0.000000,top
