Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF 50V X7R","C0603",29.550000,-18.605000,-90.000000,top
"C2","4.7uF 16V X7R","C0603",31.850000,-18.605000,-90.000000,top
"C3","10nF 25V X7R","C0603",18.100000,-17.800000,180.000000,top
"C4","1uF 16V X7R","C0603",14.900000,-17.800000,180.000000,top
"C5","100nF 50V X7R","C0603",18.100000,-16.050000,180.000000,top
"J1","2P 5.08mm screw terminal THT","CONN-TH_2P-P5.00_WJ500V-5.08-2P",37.800000,-21.900000,-90.000000,top
"J2","1x5 2.54mm male THT","HDR-TH_5P-P2.54-V-M",25.200000,-10.760000,180.000000,top
"J3","1x5 2.54mm male THT","HDR-TH_5P-P2.54-V-M",10.800000,-24.400000,-90.000000,top
"R1","10k","R0603",18.100000,-14.350000,180.000000,top
"U1","STM32F030F4P6TR","SOP-20_L6.5-W4.4-P0.65-LS6.4-BL",24.500000,-18.600000,-90.000000,top
