Comment,Designator,Qty Per Board,Footprint,MPN,LCSC,Assembly Class,Instructions
100nF 50V X7R,"C1,C10,C12,C13",4,C0603,,C14663,smt_placed,
10uF 25V X5R,C2,1,C0805,,C15850,smt_placed,
22uF 10V tantalum,C3,1,CASE-A_3216,,C122643,smt_placed,
4.7uF 16V X5R,C11,1,C0603,,C19666,smt_placed,
SMF5.0A TVS 5V,D1,1,SOD-123_L2.8-W1.8-LS3.7-RD,,C284108,smt_placed,
Red LED,D2,1,LED-SMD_L1.6-W0.8-R-RD,,C2286,smt_placed,
Green 0805,D10,1,LED0805-R-RD,,C2297,smt_placed,
PTC 750mA 16V,F1,1,F0805,,C976303,smt_placed,
TYPE-C-31-M-12,J1,1,USB-C_SMD-TYPE-C-31-M-12_1,,C165948,smt_placed,
Qwiic JST SH 4P,J2,1,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,,C160404,smt_placed,
5.1k 1%,"R1,R2",2,R0603,,C23186,smt_placed,
680R 1%,R3,1,R0603,,C23228,smt_placed,
1.5k,"R10,R11",2,R0603,,C22843,smt_placed,
100R,R12,1,R0603,,C22775,smt_placed,
10k,R13,1,R0603,,C25804,smt_placed,
Tactile button,SW1,1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,,C318884,smt_placed,
AMS1117-3.3,U1,1,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,C6186,smt_placed,
STM32G030F6P6,U2,1,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,,C724040,smt_placed,
SHT40-AD1B-R2,U3,1,DFN-4_L1.5-W1.5-P0.8-TL-EP,,C2909890,smt_placed,
1x4 2.54mm THT (DNP),"J3,J4",2,HDR-TH_4P-P2.54-V-M,,C32713270,hand_install,"THT header, not machine-placeable by JLC economy PCBA (SMT-only) - hand-solder after reflow."
,"H1,H2,H3,H4",4,,,,board_feature,Realised in copper - nothing to buy or place.
