Comment,Designator,Footprint,LCSC
100nF 50V X7R,"C1,C10,C12,C13",C0603,C14663
10uF 25V X5R,C2,C0805,C15850
22uF 10V tantalum,C3,CASE-A_3216,C122643
4.7uF 16V X5R,C11,C0603,C19666
SMF5.0A TVS 5V,D1,SOD-123_L2.8-W1.8-LS3.7-RD,C284108
Red LED,D2,LED-SMD_L1.6-W0.8-R-RD,C2286
Green 0805,D10,LED0805-R-RD,C2297
PTC 750mA 16V,F1,F0805,C976303
TYPE-C-31-M-12,J1,USB-C_SMD-TYPE-C-31-M-12_1,C165948
Qwiic JST SH 4P,J2,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,C160404
5.1k 1%,"R1,R2",R0603,C23186
680R 1%,R3,R0603,C23228
1.5k,"R10,R11",R0603,C22843
100R,R12,R0603,C22775
10k,R13,R0603,C25804
Tactile button,SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884
AMS1117-3.3,U1,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186
STM32G030F6P6,U2,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C724040
SHT40-AD1B-R2,U3,DFN-4_L1.5-W1.5-P0.8-TL-EP,C2909890
