Designator,Mid X,Mid Y,Layer,Rotation
C1,29.4000,-35.8000,Top,0.0000
C2,29.0000,-49.3000,Top,180.0000
C3,43.3500,-44.6000,Top,0.0000
C10,32.3000,-36.0000,Top,270.0000
C11,32.3000,-32.7500,Top,270.0000
C12,36.8000,-40.6500,Top,0.0000
C13,52.6000,-39.6000,Top,180.0000
D1,30.8500,-38.8000,Top,0.0000
D2,41.7500,-47.0000,Top,180.0000
D10,46.7500,-39.0000,Top,180.0000
F1,30.0000,-46.1500,Top,270.0000
J1,24.0100,-41.5000,Top,270.0000
J2,42.8000,-51.6000,Top,0.0000
R1,29.9000,-40.5500,Top,0.0000
R2,29.9000,-43.2500,Top,0.0000
R3,45.2000,-47.0000,Top,0.0000
R10,42.9500,-35.9000,Top,0.0000
R11,42.9500,-37.4000,Top,0.0000
R12,42.9500,-39.0000,Top,0.0000
R13,42.1500,-33.4000,Top,90.0000
SW1,34.9000,-50.7000,Top,0.0000
U1,35.9000,-44.6000,Top,0.0000
U2,37.3500,-36.5000,Top,180.0000
U3,52.6000,-41.5000,Top,0.0000
