Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF 50V X7R","C0603",29.400000,-35.800000,0.000000,top
"C2","10uF 25V X5R","C0805",29.000000,-49.300000,180.000000,top
"C3","22uF 10V tantalum","CASE-A_3216",43.350000,-44.600000,0.000000,top
"C10","100nF 50V X7R","C0603",32.300000,-36.000000,-90.000000,top
"C11","4.7uF 16V X5R","C0603",32.300000,-32.750000,-90.000000,top
"C12","100nF 50V X7R","C0603",36.800000,-40.650000,0.000000,top
"C13","100nF 50V X7R","C0603",52.600000,-39.600000,180.000000,top
"D1","SMF5.0A TVS 5V","SOD-123_L2.8-W1.8-LS3.7-RD",30.850000,-38.800000,0.000000,top
"D2","Red LED","LED-SMD_L1.6-W0.8-R-RD",41.750000,-47.000000,180.000000,top
"D10","Green 0805","LED0805-R-RD",46.750000,-39.000000,180.000000,top
"F1","PTC 750mA 16V","F0805",30.000000,-46.150000,-90.000000,top
"J1","TYPE-C-31-M-12","USB-C_SMD-TYPE-C-31-M-12_1",24.010000,-41.500000,-90.000000,top
"J2","Qwiic JST SH 4P","CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN",42.800000,-51.600000,0.000000,top
"J3","1x4 2.54mm THT (DNP)","HDR-TH_4P-P2.54-V-M",43.200000,-29.200000,0.000000,top
"J4","1x4 2.54mm THT (DNP)","HDR-TH_4P-P2.54-V-M",30.600000,-29.200000,0.000000,top
"R1","5.1k 1%","R0603",29.900000,-40.550000,0.000000,top
"R2","5.1k 1%","R0603",29.900000,-43.250000,0.000000,top
"R3","680R 1%","R0603",45.200000,-47.000000,0.000000,top
"R10","1.5k","R0603",42.950000,-35.900000,0.000000,top
"R11","1.5k","R0603",42.950000,-37.400000,0.000000,top
"R12","100R","R0603",42.950000,-39.000000,0.000000,top
"R13","10k","R0603",42.150000,-33.400000,90.000000,top
"SW1","Tactile button","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5",34.900000,-50.700000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR",35.900000,-44.600000,180.000000,top
"U2","STM32G030F6P6","TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL",37.350000,-36.500000,-90.000000,top
"U3","SHT40-AD1B-R2","DFN-4_L1.5-W1.5-P0.8-TL-EP",52.600000,-41.500000,90.000000,top
