Comment,Designator,Footprint,LCSC
100nF 100V X7R 0805,"C1,C61,C62,C63",C0805,C28233
10uF 100V X7R 1210,"C2,C4,C5,C6",C1210,C5156756
1nF 2kV X7R 1206,C3,C1206,C9196
27pF 50V NP0 0603,"C30,C31",C0603,C107045
4.7uF 25V X5R 0805,"C32,C36",C0805,C1779
10nF 50V X7R 0603,"C33,C59",C0603,C57112
100nF 50V X7R 0603,"C34,C35,C37,C38,C39,C40,C41,C54,C58",C0603,C14663
2.2uF 100V X7R 1210,"C50,C51",C1210,C153036
22uF 25V X5R 1206,"C52,C53,C55,C56,C57",C1206,C380359
150pF 50V NP0 0603,C60,C0603,C107038
22uF 25V X5R,C80,C1206,C380359
100nF 50V X7R,"C81,C82,C83",C0603,C14663
1uF 50V X5R,"C84,C85",C0603,C15849
SMBJ58A 58V 600W TVS,D1,SMB_L4.3-W3.6-LS5.4-R-RD,C2891331
ABS210 2A 1000V bridge (Alt A),D2,ABF_L5.1-W4.4-P4.00-LS6.2-BL,C2892567
ABS210 2A 1000V bridge (Alt B),D3,ABF_L5.1-W4.4-P4.00-LS6.2-BL,C2892567
TPD4E1U06 4ch 0.55pF ESD array,D10,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C19829453
SS510C 100V 5A Schottky SMC,"D20,D23",SMC_L7.1-W6.2-LS8.1-R-RD,C19229
Green LED 0805,"D21,D30",LED0805-R-RD,C2297
Red LED 0603,D22,LED-SMD_L1.6-W0.8-R-RD,C2286
PESD3V3L1BA 3.3V ESD clamp SOD-323,"D31,D32,D40,D41,D42",SOD-323_L1.7-W1.3-LS2.6-BI,C2687129
LPJG0926HENL PoE+ RJ45 magjack,J1,RJ45-TH_LPJG0926HENL_C22457393,C22457393
1x6 2.54mm header (recovery),J2,CONN-TH_DS1021-1X6SF11-B,C7430362
DS1021-2x7SF11-B 2x7 male header,J3,HDR-TH_14P-P2.54-V-M-R2-C7-S2.54-1,C7430403
DS1021-2x12SF11-B 2x12 male header,J4,HDR-TH_24P-P2.54-V-M-R2-C12-S2.54,C7430408
68uH 3A 140mohm inductor,L20,IND-SMD_L12.6-W13.5,C526032
4.7uH 4A 46mohm inductor,L21,IND-SMD_L5.4-W5.2,C325964
12.1k 1% 0805,"R1,R2",R0805,C17431
90.9R 1% 0805,R3,R0805,C3000584
10k 1% 0805,"R4,R5",R0805,C17414
1M 1% 0603,"R6,R35",R0603,C22935
330R 1% 0603,"R7,R8,R72",R0603,C23138
0R jumper 0603,"R9,R36",R0603,C21189
12.4k 1% 0805,R30,R0805,C30908
22R 1% 0603,"R31,R32",R0603,C23345
10k 1% 0603,"R33,R34,R64,R69,R71,R106,R132,R134",R0603,C25804
270k 1% 0603,R60,R0603,C22965
30k 1% 0603,"R61,R68",R0603,C22984
100k 1% 0805,"R62,R70",R0805,C149504
33k 1% 0603,R63,R0603,C4216
18k 1% 0603,R65,R0603,C25810
620k 0.1% 0805,R66,R0805,C865592
10k 0.1% 0805,R67,R0805,C110775
12k 0.1% 0805,R73,R0805,C865172
4.7k 1% 0603,"R74,R130,R131",R0603,C23162
10k,"R100,R101",R0603,C25804
330R,R102,R0603,C23138
1k 1% 0603,"R103,R104,R105,R135,R136,R137",R0603,C21190
SMD tactile switch,SW1,SW-SMD_L3.9-W3.0-P4.45,C720477
TPS2378DDAR,U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm,C337500
W5500,U10,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,C32843
SCT2A25STER,U20,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,C5124114
TPS563201DDCR,U21,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C116592
TPS16630PWPR,U22,HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.4x6.5mm_Mask2.96x2.96mm_ThermalVias,C1849461
ESP32-S3-WROOM-1-N8,U30,WIFIM-SMD_ESP32-S3-WROOM-1-N8,C2913198
25MHz 18pF CL crystal,Y10,OSC-SMD_4P-L3.2-W2.5-BL_SIT8008BI,C70593
