Designator,Mid X,Mid Y,Layer,Rotation
C1,30.0000,-87.0000,Top,0.0000
C2,24.5000,-87.0000,Top,180.0000
C3,52.0000,-84.0000,Top,0.0000
C4,30.5000,-82.0000,Top,180.0000
C5,24.5000,-82.0000,Top,180.0000
C6,24.5000,-77.0000,Top,180.0000
C30,88.8300,-65.3825,Top,180.0000
C31,94.0800,-61.8825,Top,0.0000
C32,103.6500,-76.0000,Top,0.0000
C33,103.6000,-72.8000,Top,0.0000
C34,94.4363,-85.4461,Top,270.0000
C35,97.6310,-85.5130,Top,270.0000
C36,113.0000,-75.0000,Top,0.0000
C37,100.0891,-85.6015,Top,270.0000
C38,103.6000,-81.0000,Top,0.0000
C39,103.6000,-78.5000,Top,0.0000
C40,98.4153,-71.9177,Top,90.0000
C41,108.0000,-79.5000,Top,0.0000
C50,24.0000,-106.5000,Top,180.0000
C51,24.0000,-113.5000,Top,180.0000
C52,28.0000,-119.5000,Top,0.0000
C53,28.0000,-123.5000,Top,0.0000
C54,33.0000,-116.0000,Top,0.0000
C55,58.0000,-113.0000,Top,0.0000
C56,71.5000,-118.5000,Top,0.0000
C57,71.5000,-122.0000,Top,0.0000
C58,64.0000,-117.5000,Top,0.0000
C59,48.0000,-102.0000,Top,0.0000
C60,69.2500,-127.7500,Top,180.0000
C61,24.5000,-110.0000,Top,180.0000
C62,37.0000,-93.5000,Top,180.0000
C63,51.0000,-94.0000,Top,0.0000
C80,115.5000,-81.9000,Top,0.0000
C81,114.3000,-84.7000,Top,0.0000
C82,111.0000,-81.9000,Top,0.0000
C83,111.0000,-84.7000,Top,0.0000
C84,105.0000,-85.2000,Top,0.0000
C85,89.0000,-81.2500,Top,180.0000
D1,30.0000,-100.6000,Top,0.0000
D2,45.0000,-84.5000,Top,180.0000
D3,36.2000,-84.5000,Top,180.0000
D10,82.2500,-84.7500,Top,90.0000
D20,43.0000,-108.6000,Top,0.0000
D21,66.0000,-98.5000,Top,180.0000
D22,110.0000,-70.0000,Top,180.0000
D23,66.5000,-85.2500,Top,0.0000
D30,83.2500,-68.5000,Top,0.0000
D31,104.0550,-60.9325,Top,0.0000
D32,117.2500,-64.7500,Top,180.0000
D40,89.7500,-105.7500,Top,0.0000
D41,89.2500,-79.2500,Top,180.0000
D42,116.0000,-109.5000,Top,0.0000
J1,40.5800,-70.5930,Top,180.0000
J2,100.3490,-58.6330,Top,0.0000
J3,42.5800,-133.1320,Top,0.0000
J4,90.5800,-133.1320,Top,0.0000
L20,44.0000,-118.8000,Top,0.0000
L21,71.5000,-113.0000,Top,0.0000
R1,23.0000,-90.8000,Top,0.0000
R2,23.0000,-94.6000,Top,0.0000
R3,36.0000,-102.5000,Top,0.0000
R4,79.0000,-94.5000,Top,90.0000
R5,82.0957,-96.7326,Top,0.0000
R6,70.2500,-91.0000,Top,0.0000
R7,91.0000,-86.0000,Top,180.0000
R8,116.7800,-66.5888,Top,0.0000
R9,64.5000,-90.6000,Top,90.0000
R30,85.7500,-83.2500,Top,270.0000
R31,89.5000,-70.8000,Top,0.0000
R32,93.5000,-70.8000,Top,0.0000
R33,86.0000,-75.7500,Top,270.0000
R34,97.7500,-63.2500,Top,270.0000
R35,91.8300,-65.1325,Top,0.0000
R36,94.0800,-64.3825,Top,90.0000
R60,73.7500,-130.0000,Top,90.0000
R61,73.7500,-107.7500,Top,90.0000
R62,24.7500,-74.2500,Top,0.0000
R63,58.0000,-117.5000,Top,0.0000
R64,58.0000,-120.5000,Top,0.0000
R65,51.0000,-100.0000,Top,0.0000
R66,37.0000,-96.5000,Top,0.0000
R67,37.0000,-99.0000,Top,0.0000
R68,73.2500,-70.5000,Top,90.0000
R69,44.0000,-102.0000,Top,0.0000
R70,51.0000,-97.0000,Top,0.0000
R71,55.0000,-108.0000,Top,0.0000
R72,110.0000,-72.5000,Top,0.0000
R73,63.7500,-79.0000,Top,0.0000
R74,57.5000,-82.0000,Top,0.0000
R100,111.5000,-78.6000,Top,0.0000
R101,115.6000,-78.6000,Top,0.0000
R102,102.7500,-68.2500,Top,180.0000
R103,100.0000,-120.0000,Top,0.0000
R104,118.0000,-72.5000,Top,90.0000
R105,75.0000,-84.0000,Top,0.0000
R106,107.6211,-108.3505,Top,180.0000
R130,96.0000,-110.0000,Top,0.0000
R131,100.0000,-110.0000,Top,0.0000
R132,112.7500,-64.7500,Top,0.0000
R134,111.7500,-122.7500,Top,0.0000
R135,103.2500,-121.7500,Top,90.0000
R136,104.0000,-117.0000,Top,0.0000
R137,108.0000,-117.0000,Top,0.0000
SW1,81.7500,-60.5000,Top,270.0000
U1,30.0000,-92.5000,Top,270.0000
U10,96.4258,-78.6819,Top,270.0000
U20,32.5000,-110.0000,Top,270.0000
U21,64.0000,-113.0000,Top,180.0000
U22,44.0000,-96.0000,Top,0.0000
U30,102.6300,-97.1320,Top,270.0000
Y10,90.3300,-62.1325,Top,0.0000
