Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF 100V X7R 0805","C0805",30.000000,-87.000000,0.000000,top
"C2","10uF 100V X7R 1210","C1210",24.500000,-87.000000,180.000000,top
"C3","1nF 2kV X7R 1206","C1206",52.000000,-84.000000,0.000000,top
"C4","10uF 100V X7R 1210","C1210",30.500000,-82.000000,180.000000,top
"C5","10uF 100V X7R 1210","C1210",24.500000,-82.000000,180.000000,top
"C6","10uF 100V X7R 1210","C1210",24.500000,-77.000000,180.000000,top
"C30","27pF 50V NP0 0603","C0603",88.830000,-65.382500,180.000000,top
"C31","27pF 50V NP0 0603","C0603",94.080000,-61.882500,0.000000,top
"C32","4.7uF 25V X5R 0805","C0805",103.650000,-76.000000,0.000000,top
"C33","10nF 50V X7R 0603","C0603",103.600000,-72.800000,0.000000,top
"C34","100nF 50V X7R 0603","C0603",94.436300,-85.446100,-90.000000,top
"C35","100nF 50V X7R 0603","C0603",97.631000,-85.513000,-90.000000,top
"C36","4.7uF 25V X5R 0805","C0805",113.000000,-75.000000,0.000000,top
"C37","100nF 50V X7R 0603","C0603",100.089100,-85.601500,-90.000000,top
"C38","100nF 50V X7R 0603","C0603",103.600000,-81.000000,0.000000,top
"C39","100nF 50V X7R 0603","C0603",103.600000,-78.500000,0.000000,top
"C40","100nF 50V X7R 0603","C0603",98.415300,-71.917700,90.000000,top
"C41","100nF 50V X7R 0603","C0603",108.000000,-79.500000,0.000000,top
"C50","2.2uF 100V X7R 1210","C1210",24.000000,-106.500000,180.000000,top
"C51","2.2uF 100V X7R 1210","C1210",24.000000,-113.500000,180.000000,top
"C52","22uF 25V X5R 1206","C1206",28.000000,-119.500000,0.000000,top
"C53","22uF 25V X5R 1206","C1206",28.000000,-123.500000,0.000000,top
"C54","100nF 50V X7R 0603","C0603",33.000000,-116.000000,0.000000,top
"C55","22uF 25V X5R 1206","C1206",58.000000,-113.000000,0.000000,top
"C56","22uF 25V X5R 1206","C1206",71.500000,-118.500000,0.000000,top
"C57","22uF 25V X5R 1206","C1206",71.500000,-122.000000,0.000000,top
"C58","100nF 50V X7R 0603","C0603",64.000000,-117.500000,0.000000,top
"C59","10nF 50V X7R 0603","C0603",48.000000,-102.000000,0.000000,top
"C60","150pF 50V NP0 0603","C0603",69.250000,-127.750000,180.000000,top
"C61","100nF 100V X7R 0805","C0805",24.500000,-110.000000,180.000000,top
"C62","100nF 100V X7R 0805","C0805",37.000000,-93.500000,180.000000,top
"C63","100nF 100V X7R 0805","C0805",51.000000,-94.000000,0.000000,top
"C80","22uF 25V X5R","C1206",115.500000,-81.900000,0.000000,top
"C81","100nF 50V X7R","C0603",114.300000,-84.700000,0.000000,top
"C82","100nF 50V X7R","C0603",111.000000,-81.900000,0.000000,top
"C83","100nF 50V X7R","C0603",111.000000,-84.700000,0.000000,top
"C84","1uF 50V X5R","C0603",105.000000,-85.200000,0.000000,top
"C85","1uF 50V X5R","C0603",89.000000,-81.250000,180.000000,top
"D1","SMBJ58A 58V 600W TVS","SMB_L4.3-W3.6-LS5.4-R-RD",30.000000,-100.600000,0.000000,top
"D2","ABS210 2A 1000V bridge (Alt A)","ABF_L5.1-W4.4-P4.00-LS6.2-BL",45.000000,-84.500000,180.000000,top
"D3","ABS210 2A 1000V bridge (Alt B)","ABF_L5.1-W4.4-P4.00-LS6.2-BL",36.200000,-84.500000,180.000000,top
"D10","TPD4E1U06 4ch 0.55pF ESD array","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",82.250000,-84.750000,-90.000000,top
"D20","SS510C 100V 5A Schottky SMC","SMC_L7.1-W6.2-LS8.1-R-RD",43.000000,-108.600000,0.000000,top
"D21","Green LED 0805","LED0805-R-RD",66.000000,-98.500000,180.000000,top
"D22","Red LED 0603","LED-SMD_L1.6-W0.8-R-RD",110.000000,-70.000000,180.000000,top
"D23","SS510C 100V 5A Schottky SMC","SMC_L7.1-W6.2-LS8.1-R-RD",66.500000,-85.250000,0.000000,top
"D30","Green LED 0805","LED0805-R-RD",83.250000,-68.500000,0.000000,top
"D31","PESD3V3L1BA 3.3V ESD clamp SOD-323","SOD-323_L1.7-W1.3-LS2.6-BI",104.055000,-60.932500,0.000000,top
"D32","PESD3V3L1BA 3.3V ESD clamp SOD-323","SOD-323_L1.7-W1.3-LS2.6-BI",117.250000,-64.750000,180.000000,top
"D40","PESD3V3L1BA 3.3V ESD clamp SOD-323","SOD-323_L1.7-W1.3-LS2.6-BI",89.750000,-105.750000,0.000000,top
"D41","PESD3V3L1BA 3.3V ESD clamp SOD-323","SOD-323_L1.7-W1.3-LS2.6-BI",89.250000,-79.250000,180.000000,top
"D42","PESD3V3L1BA 3.3V ESD clamp SOD-323","SOD-323_L1.7-W1.3-LS2.6-BI",116.000000,-109.500000,0.000000,top
"J1","LPJG0926HENL PoE+ RJ45 magjack","RJ45-TH_LPJG0926HENL_C22457393",40.580000,-70.593000,180.000000,top
"J2","1x6 2.54mm header (recovery)","CONN-TH_DS1021-1X6SF11-B",100.349000,-58.633000,0.000000,top
"J3","DS1021-2x7SF11-B 2x7 male header","HDR-TH_14P-P2.54-V-M-R2-C7-S2.54-1",42.580000,-133.132000,0.000000,top
"J4","DS1021-2x12SF11-B 2x12 male header","HDR-TH_24P-P2.54-V-M-R2-C12-S2.54",90.580000,-133.132000,0.000000,top
"L20","68uH 3A 140mohm inductor","IND-SMD_L12.6-W13.5",44.000000,-118.800000,0.000000,top
"L21","4.7uH 4A 46mohm inductor","IND-SMD_L5.4-W5.2",71.500000,-113.000000,0.000000,top
"R1","12.1k 1% 0805","R0805",23.000000,-90.800000,0.000000,top
"R2","12.1k 1% 0805","R0805",23.000000,-94.600000,0.000000,top
"R3","90.9R 1% 0805","R0805",36.000000,-102.500000,0.000000,top
"R4","10k 1% 0805","R0805",79.000000,-94.500000,90.000000,top
"R5","10k 1% 0805","R0805",82.095700,-96.732600,0.000000,top
"R6","1M 1% 0603","R0603",70.250000,-91.000000,0.000000,top
"R7","330R 1% 0603","R0603",91.000000,-86.000000,180.000000,top
"R8","330R 1% 0603","R0603",116.780000,-66.588800,0.000000,top
"R9","0R jumper 0603","R0603",64.500000,-90.600000,90.000000,top
"R30","12.4k 1% 0805","R0805",85.750000,-83.250000,-90.000000,top
"R31","22R 1% 0603","R0603",89.500000,-70.800000,0.000000,top
"R32","22R 1% 0603","R0603",93.500000,-70.800000,0.000000,top
"R33","10k 1% 0603","R0603",86.000000,-75.750000,-90.000000,top
"R34","10k 1% 0603","R0603",97.750000,-63.250000,-90.000000,top
"R35","1M 1% 0603","R0603",91.830000,-65.132500,0.000000,top
"R36","0R jumper 0603","R0603",94.080000,-64.382500,90.000000,top
"R60","270k 1% 0603","R0603",73.750000,-130.000000,90.000000,top
"R61","30k 1% 0603","R0603",73.750000,-107.750000,90.000000,top
"R62","100k 1% 0805","R0805",24.750000,-74.250000,0.000000,top
"R63","33k 1% 0603","R0603",58.000000,-117.500000,0.000000,top
"R64","10k 1% 0603","R0603",58.000000,-120.500000,0.000000,top
"R65","18k 1% 0603","R0603",51.000000,-100.000000,0.000000,top
"R66","620k 0.1% 0805","R0805",37.000000,-96.500000,0.000000,top
