Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF 50V X5R","C0603",35.090000,-45.117000,-90.000000,top
"D1","LED red","LED-SMD_L1.6-W0.8-R-RD",40.290000,-43.117000,180.000000,top
"J1","USB-C 6P","USB-C-SMD_918-418K2023S40006",22.240000,-39.317000,-90.000000,top
"R1","6.8k","R0603",40.590000,-33.617000,180.000000,top
"R2","24k","R0603",40.590000,-31.817000,180.000000,top
"R3","56k","R0603",40.590000,-30.017000,180.000000,top
"R4","120k","R0603",40.590000,-28.217000,180.000000,top
"R5","100k","R0603",40.590000,-35.417000,180.000000,top
"R6","10k","R0603",37.490000,-43.117000,0.000000,top
"R7","0R","R0603",35.090000,-42.367000,-90.000000,top
"SW1","DIP 5P 5/9/12/15/20V","SW-SMD_5P-P1.27_1.27-5P",34.190000,-31.817000,90.000000,top
"U1","CH224A","ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP",30.290000,-44.167000,90.000000,top
