Comment,Designator,Qty Per Board,Footprint,MPN,LCSC,Assembly Class,Instructions
1uF 50V X5R,C1,1,C0603,CL10A105KB8NNNC,C15849,smt_placed,
LED red,D1,1,LED-SMD_L1.6-W0.8-R-RD,KT-0603R,C2286,smt_placed,
USB-C 6P,J1,1,USB-C-SMD_918-418K2023S40006,TYPE-C-6M-001,C2798175,smt_placed,
6.8k,R1,1,R0603,0603WAF6801T5E,C23212,smt_placed,
24k,R2,1,R0603,0603WAF2402T5E,C23352,smt_placed,
56k,R3,1,R0603,0603WAF5602T5E,C23206,smt_placed,
120k,R4,1,R0603,0603WAF1203T5E,C25808,smt_placed,
0R (12V fitted),R5,1,R0603,0603WAF0000T5E,C21189,smt_placed,12 V select link: remove to change voltage
10k,R6,1,R0603,0603WAF1002T5E,C25804,smt_placed,
0R,R7,1,R0603,0603WAF0000T5E,C21189,smt_placed,
CH224A,U1,1,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,CH224A,C42459160,smt_placed,
9V link (open),JP1,1,R0603,0603 land (link),,dnp,DO NOT POPULATE - this land ships empty.
15V link (open),JP2,1,R0603,0603 land (link),,dnp,DO NOT POPULATE - this land ships empty.
20V link (open),JP3,1,R0603,0603 land (link),,dnp,DO NOT POPULATE - this land ships empty.
OUT VBUS/GND,J2,1,,2x plated hole 2.54 mm,,board_feature,Realised in copper - nothing to buy or place.
