Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF 50V X5R","C0603",35.870000,-41.093000,-90.000000,top
"D1","LED red","LED-SMD_L1.6-W0.8-R-RD",41.070000,-39.093000,180.000000,top
"J1","USB-C 6P","USB-C-SMD_918-418K2023S40006",23.020000,-35.293000,-90.000000,top
"JP1","9V link (open)","R0603",27.270000,-32.143000,-90.000000,top
"JP2","15V link (open)","R0603",31.270000,-32.143000,-90.000000,top
"JP3","20V link (open)","R0603",33.270000,-32.143000,-90.000000,top
"R1","6.8k","R0603",27.270000,-29.293000,-90.000000,top
"R2","24k","R0603",29.270000,-29.293000,-90.000000,top
"R3","56k","R0603",31.270000,-29.293000,-90.000000,top
"R4","120k","R0603",33.270000,-29.293000,-90.000000,top
"R5","0R (12V fitted)","R0603",29.270000,-32.143000,-90.000000,top
"R6","10k","R0603",38.270000,-39.093000,0.000000,top
"R7","0R","R0603",35.870000,-38.343000,-90.000000,top
"U1","CH224A","ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP",31.070000,-40.143000,90.000000,top
