Comment,Designator,Footprint,LCSC
10uF 50V X5R,"C1A,C1B",C1206,C13585
100nF 50V X7R,C2,C0603,C14663
1uF 50V X5R,C5,C0603,C15849
TVS2200 22V,D1,WSON-6_L2.0-W2.0-P0.65-BL-EP,C523793
BZX84C6V2,D2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C841160
LED YG PWR,D3,LED0603-RD_GREEN,C965805
LED RED 5V ONLY,D5,LED0603-RD,C7496813
LED YG PROFILE OK,D6,LED0603-RD_GREEN,C965805
PPTC 1A 30V,F1,F1206,C5358568
USB-C 16P 5A,J1,USB-C-SMD_MC-311D,C5184243
SCREW 5.08 2P,J2,CONN-TH_P5.08_KF128-5.08-2P,C474952
HDR 1x2 AUX,J3,HDR-TH_2P-P2.54-V-M-3,C32713268
BC847BS,Q1,SOT-363-6_L2.2-W1.3-P0.65-LS2.1-BL,C41375126
10k,"R1,R8",R0603,C25804
510R,"R2A,R2B",R1206,C25386
100k,"R3,R4,R5",R0603,C25803
6.8k,R6,R0603,C23212
4.7k,R7,R0603,C23162
47k,R9,R0603,C25819
3.3k,R10,R1206,C137292
1.5k,R12,R0603,C22843
4.7k,R13,R0805,C17673
0R,R14,R0603,C21189
DIP-3,SW1,SW-SMD_6P-L7.6-W6.0-P2.54-LS9.3-BL,C7421520
CH224K,U1,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,C970725
