Quantity,Part Number,Customer Reference
22,CGA5L3X5R1H106M160AB,"C1A,C1B"
15,CC0603KRX7R9BB104,C2
15,UMK107BJ105KA-T,C5
11,TVS2200DRVR,D1
12,BZX84C6V2LT1G,D2
25,LTST-C191KGKT,"D3,D6"
15,LTST-C191KRKT,D5
11,USB4105-GF-A-120,J1
11,OSTTC022162,J2
1,PREC040SAAN-RC,J3
12,BC847BS-TP,Q1
25,RC0603FR-0710KL,"R1,R8"
25,RC1206FR-07510RL,"R2A,R2B"
35,RC0603FR-07100KL,"R3,R4,R5"
15,RC0603FR-076K8L,R6
15,RC0603FR-074K7L,R7
15,RC0603FR-0747KL,R9
15,RC1206FR-073K3L,R10
15,RC0603FR-071K5L,R12
15,RC0805FR-074K7L,R13
15,RC0603FR-070RL,R14
12,MF-NSHT035KX-2,F1
