Ref,Val,Package,PosX,PosY,Rot,Side
"C1A","10uF 50V X5R","C1206",28.100000,-47.200000,0.000000,top
"C1B","10uF 50V X5R","C1206",22.000000,-51.000000,0.000000,top
"C2","100nF 50V X7R","C0603",23.600000,-47.200000,0.000000,top
"C5","1uF 50V X5R","C0603",28.300000,-31.200000,0.000000,top
"D1","TVS2200 22V","WSON-6_L2.0-W2.0-P0.65-BL-EP",20.400000,-47.200000,0.000000,top
"D2","BZX84C6V2","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",22.000000,-54.400000,0.000000,top
"D3","LED YG PWR","LED0603-RD_GREEN",48.500000,-55.600000,0.000000,top
"D5","LED RED 5V ONLY","LED0603-RD",38.500000,-55.600000,0.000000,top
"D6","LED YG PROFILE OK","LED0603-RD_GREEN",43.500000,-55.600000,0.000000,top
"F1","PPTC 1A 30V","F1206",14.500000,-35.000000,0.000000,top
"J1","USB-C 16P 5A","USB-C-SMD_MC-311D",15.250000,-42.510000,-90.000000,top
"J2","SCREW 5.08 2P","CONN-TH_P5.08_KF128-5.08-2P",52.200000,-40.960000,90.000000,top
"J3","HDR 1x2 AUX","HDR-TH_2P-P2.54-V-M-3",19.400000,-29.150000,0.000000,top
"Q1","BC847BS","SOT-363-6_L2.2-W1.3-P0.65-LS2.1-BL",30.500000,-52.500000,180.000000,top
"R1","10k","R0603",28.600000,-39.200000,0.000000,top
"R2A","510R","R1206",48.000000,-29.000000,0.000000,top
"R2B","510R","R1206",48.000000,-33.400000,0.000000,top
"R3","100k","R0603",33.200000,-36.000000,0.000000,top
"R4","100k","R0603",33.200000,-33.000000,0.000000,top
"R5","100k","R0603",33.200000,-30.000000,0.000000,top
"R6","6.8k","R0603",27.000000,-50.300000,0.000000,top
"R7","4.7k","R0603",27.000000,-54.700000,0.000000,top
"R8","10k","R0603",33.500000,-50.300000,0.000000,top
"R9","47k","R0603",33.500000,-54.700000,180.000000,top
"R10","3.3k","R1206",48.500000,-51.500000,0.000000,top
"R12","1.5k","R0603",38.500000,-51.500000,0.000000,top
"R13","4.7k","R0805",43.500000,-51.500000,0.000000,top
"R14","0R","R0603",33.000000,-39.100000,0.000000,top
"SW1","DIP-3","SW-SMD_6P-L7.6-W6.0-P2.54-LS9.3-BL",39.560000,-33.450000,0.000000,top
"U1","CH224K","ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP",23.200000,-34.800000,180.000000,top
