Quantity,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Customer Reference,Description,Notes
20,445-5998-1-ND,C3216X5R1H106K160AB,TDK Corporation,"C1A,C1B",CAP CER 10UF 50V X5R 1206,"REPLACES backordered 1276-2876-1-ND (Samsung CL31A106KBHNNNE). Every mainstream 10uF/50V/1206 is out of stock right now - TDK is the only stocked one (128k). 50V is load-bearing: X5R at 20V DC bias loses most of its value, a 25V part will not hold the VBUS bulk. CHEAPER MARKETPLACE OPTIONS if you will hand-add them: Cal-Chip GMC31X5R106K50NT $0.24 (saves ~$7.40) or Venkel 2679-FTC1206X5R500-106KNE-CT-ND $0.403 (saves ~$4.10)."
10,311-1344-1-ND,CC0603KRX7R9BB104,YAGEO,C2,CAP CER 0.1UF 50V X7R 0603,Unchanged - in stock and already the cheapest at this rating.
10,587-2400-1-ND,UMK107BJ105KA-T,Taiyo Yuden,C5,CAP CER 1UF 50V X5R 0603,REPLACES backordered 1276-1860-1-ND (Samsung CL10A105KB8NNNC). 890k in stock and CHEAPER than the original ($0.081 vs $0.13 at qty 10).
10,296-52187-1-ND,TVS2200DRVR,Texas Instruments,D1,TVS DIODE 22VWM 28VC 6WSON,"Unchanged. $0.688 at qty 10 - the most expensive semi in the cart, but it is a WSON-6 footprint with no cheap drop-in, and the 22V flat clamp is what protects the CH224K on a 20V contract."
10,BZX84C6V2LT1GOSCT-ND,BZX84C6V2LT1G,onsemi,D2,DIODE ZENER 6.2V 250MW SOT23-3,Unchanged - in stock at $0.104.
20,160-1446-1-ND,LTST-C191KGKT,Lite-On Inc.,"D3,D6",LED GREEN CLEAR 0603 SMD,Unchanged. $0.104 at qty 10-99. Kingbright APT1608SGC was checked and is not cheaper at this quantity.
10,160-1447-1-ND,LTST-C191KRKT,Lite-On Inc.,D5,LED RED CLEAR 0603 SMD,Unchanged. $0.104.
10,2073-USB4105-GF-A-120CT-ND,USB4105-GF-A-120,GCT,J1,CONN RCP USB2.0 TYP C 16P SMD RA,Unchanged - same MPN as the LCSC line. $0.676 at qty 10.
10,ED2609-ND,OSTTC022162,On Shore Technology Inc.,J2,TERM BLK 2P SIDE ENT 5.08MM PCB,Unchanged. $0.423 at qty 10 - cheapest 5.08mm 2P THT block found (Phoenix 277-1667-ND is $0.431).
1,S1012EC-40-ND,PREC040SAAN-RC,Sullins Connector Solutions,J3,CONN HEADER VERT 40POS 2.54MM,"REPLACES backordered 35-PREC002SAAN-RC-ND. This is a 1x40 BREAKAWAY strip - snap off 2 pins per board. ONE strip at $0.49 covers all 10 boards and 10 spares, vs $2.91 for ten discrete 2-pin headers. 30k in stock."
10,BC847BS-TPCT-ND,BC847BS-TP,MCC (Micro Commercial Components),Q1,TRANS 2NPN 45V 100MA SOT-363,"Unchanged. $0.238 at qty 10. Still the only stocked SOT-363 BC847BS: onsemi obsolete, Nexperia 0-stock to Feb-2027, Diodes 1 pc / 48-week lead."
20,311-10.0KHRCT-ND,RC0603FR-0710KL,YAGEO,"R1,R8",RES 10K OHM 1% 1/10W 0603,Unchanged.
20,311-510FRCT-ND,RC1206FR-07510RL,YAGEO,"R2A,R2B",RES 510 OHM 1% 1/4W 1206,Unchanged. 1/4W 1206 held - the pair in series is the LED dropper off the 20V rail (~90mW each).
30,311-100KHRCT-ND,RC0603FR-07100KL,YAGEO,"R3,R4,R5",RES 100K OHM 1% 1/10W 0603,Unchanged.
10,311-6.80KHRCT-ND,RC0603FR-076K8L,YAGEO,R6,RES 6.8K OHM 1% 1/10W 0603,Unchanged.
10,311-4.70KHRCT-ND,RC0603FR-074K7L,YAGEO,R7,RES 4.7K OHM 1% 1/10W 0603,Unchanged.
10,311-47.0KHRCT-ND,RC0603FR-0747KL,YAGEO,R9,RES 47K OHM 1% 1/10W 0603,"CORRECTED - the previous 311-47.0KHCT-ND was missing the R and is not a valid Digi-Key number. 1.19M in stock."
10,311-3.30KFRCT-ND,RC1206FR-073K3L,YAGEO,R10,RES 3.3K OHM 1% 1/4W 1206,Unchanged.
10,311-1.50KHRCT-ND,RC0603FR-071K5L,YAGEO,R12,RES 1.5K OHM 1% 1/10W 0603,"CORRECTED - the previous 311-1.50KHCT-ND was missing the R and is not a valid Digi-Key number. 1.17M in stock."
10,311-4.70KCRCT-ND,RC0805FR-074K7L,YAGEO,R13,RES 4.7K OHM 1% 1/8W 0805,Unchanged. 0805 - do not downsize to 0603.
10,P0.0GCT-ND,ERJ-3GEY0R00V,Panasonic Electronic Components,R14,RES 0 OHM JUMPER 1/10W 0603,Unchanged.
