Comment,Designator,Qty Per Board,Footprint,MPN,LCSC,Assembly Class,Instructions
100uF 63V alu electrolytic,"C101,C102",2,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD_1,RVT63V100M10X10,C51953411,smt_placed,
2.2uF 100V X7R 1206,"C103,C104",2,C1206,CC1206KKX7R0BB225,C577211,smt_placed,
100nF 100V X7R 0603,"C105,C109,C111",3,C0603,CC0603KRX7R0BB104,C113803,smt_placed,
2.2uF 50V X7R 0805,C106,1,C0805,CC0805KKX7R9BB225,C125847,smt_placed,
10nF 100V X7R 0603,"C107,C207,C208,C209,C210",5,C0603,CC0603KRX7R0BB103,C107059,smt_placed,
22uF 16V X7R 1206,C108,1,C1206,TCC1206X7R226K160HT,C22392398,smt_placed,
1nF 100V C0G 0603,"C110,C211,C212",3,C0603,CC0603JRNPO0BN102,C113793,smt_placed,
100nF 16V X7R 0402,C201,1,C0402,CC0402KRX7R7BB104,C60474,smt_placed,
10nF 25V X7R 0201,C202,1,C0201,0201B103K250NT,C285010,smt_placed,
27pF 1kV C0G 1206,"C204,C319,C320",3,C1206,CC1206JKNPOCBN270,C541492,smt_placed,
1uF 16V X7R 0603,C213,1,C0603,CC0603KRX7R7BB105,C106248,smt_placed,
56pF 1kV C0G 1206,"C301,C302,C303,C304,C305,C306,C307,C310,C311,C312,C313,C314,C315,C316,C317",15,C1206,CC1206JKNPOCBN560,C113875,smt_placed,
120R@100MHz bead 3A 30mohm,FB201,1,L0805,BLM21PG121SN1D,C79382,smt_placed,
KF128-5.08-2P 2pos 5.08mm 24A/250V,J101,1,CONN-TH_P5.08_KF128-5.08-2P_EDGETRIM,KF128-5.08-2P-AA,C474952,smt_placed,
SMA jack 50R SMD (CONSMA001),"J201,J301",2,SMA-SMD_CONSMA001-SMD-G-T,CONSMA001-SMD-G-T,C22418168,smt_placed,
22uH 1A shielded,L101,1,IND-SMD_L4.0-W4.0_SLW4010S,SWPA4030S220MT,C83472,smt_placed,
470nH 20A 4.1mohm,"L201,L202",2,IND-SMD_L7.0-W6.6_FXL0630,FXL0630-R47-M,C167212,smt_placed,
EPC2019 200V eGaN,"Q201,Q202",2,TRS-SMD_EPC2019,EPC2019,C2836675,smt_placed,
30.9k 0402 1%,R101,1,R0402,0402WGF3092TCE,C270615,smt_placed,
10.0k 0402 1%,R102,1,R0402,0402WGF1002TCE,C25744,smt_placed,
100k 0805 1% 150V,"R103,R104",2,R0805,0805W8F1003T5E,C149504,smt_placed,
100R 2010 1% 750mW,"R201,R202",2,R2010,201007F1000T4E,C421954,smt_placed,
4R7 0805 1% 250mW,"R203,R204,R205,R206",4,R0805,RK73H2ATTD4R70F,C160081,smt_placed,
LM5017 100V sync COT buck,U101,1,SOIC-8-EP_LM5017_TI-MRA08B,LM5017MRX/NOPB,C34355,smt_placed,
LMG1020 5V GaN driver 7A/5A,U201,1,BGA-6_L1.3-W0.8-P0.40-TL_PTMAG3001A2YBGR,LMG1020YFFR,C6423790,smt_placed,
56pF 1kV C0G 1206,C203,1,C1206,CC1206JKNPOCBN560,C113875,dnp,"DO NOT POPULATE - P8 ZVS fix (C_shunt bank 83 -> 27 pF). Fitting this site returns the amplifier to hard switching: Vds at turn-on 15.60 V instead of 1.41 V, P_out ~53 W instead of ~113.8 W."
56pF 1kV C0G 1206,"C205,C206",2,C1206,CC1206JKNPOCBN560,C113875,dnp,"DO NOT POPULATE - C_shunt bench-trim site, ships empty."
56pF 1kV C0G 1206,"C308,C309",2,C1206,CC1206JKNPOCBN560,C113875,dnp,"DO NOT POPULATE - P8 ZVS fix (C_s bank 504 -> 419 pF). Fitting this site returns the amplifier to hard switching, see C203."
56pF 1kV C0G 1206,C318,1,C1206,CC1206JKNPOCBN560,C113875,dnp,DO NOT POPULATE - P4 review E2: the RFOUT pour already adds a measured 46.1 pF to the C_m bank.
27pF 1kV C0G 1206,"C321,C322,C323",3,C1206,CC1206JKNPOCBN270,C541492,dnp,"DO NOT POPULATE - 27 pF bench-trim site, ships empty."
,"FID1,FID2,FID3,H1,H2,H3,H4,H5,H6,HS1",10,,,,board_feature,Realised in copper - nothing to buy or place.
"L_s 184nH, etched PCB air-core spiral, 2T, OD30-34mm",L301,1,custom - PCB copper feature,,,board_feature,Realised in copper - nothing to buy or place.
"L_m 115nH, etched PCB air-core spiral, >=900mm2 despite lower L than L_s",L302,1,custom - PCB copper feature,,,board_feature,Realised in copper - nothing to buy or place.
