Comment,Designator,Footprint,LCSC
100uF 63V alu electrolytic,"C101,C102",CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD_1,C51953411
2.2uF 100V X7R 1206,"C103,C104",C1206,C577211
100nF 100V X7R 0603,"C105,C109,C111",C0603,C113803
2.2uF 50V X7R 0805,C106,C0805,C125847
10nF 100V X7R 0603,"C107,C207,C208,C209,C210",C0603,C107059
22uF 16V X7R 1206,C108,C1206,C22392398
1nF 100V C0G 0603,"C110,C211,C212",C0603,C113793
100nF 16V X7R 0402,C201,C0402,C60474
10nF 25V X7R 0201,C202,C0201,C285010
27pF 1kV C0G 1206,"C204,C319,C320",C1206,C541492
1uF 16V X7R 0603,C213,C0603,C106248
56pF 1kV C0G 1206,"C301,C302,C303,C304,C305,C306,C307,C310,C311,C312,C313,C314,C315,C316,C317",C1206,C113875
120R@100MHz bead 3A 30mohm,FB201,L0805,C79382
KF128-5.08-2P 2pos 5.08mm 24A/250V,J101,CONN-TH_P5.08_KF128-5.08-2P_EDGETRIM,C474952
SMA jack 50R SMD (CONSMA001),"J201,J301",SMA-SMD_CONSMA001-SMD-G-T,C22418168
22uH 1A shielded,L101,IND-SMD_L4.0-W4.0_SLW4010S,C83472
470nH 20A 4.1mohm,"L201,L202",IND-SMD_L7.0-W6.6_FXL0630,C167212
EPC2019 200V eGaN,"Q201,Q202",TRS-SMD_EPC2019,C2836675
30.9k 0402 1%,R101,R0402,C270615
10.0k 0402 1%,R102,R0402,C25744
100k 0805 1% 150V,"R103,R104",R0805,C149504
100R 2010 1% 750mW,"R201,R202",R2010,C421954
4R7 0805 1% 250mW,"R203,R204,R205,R206",R0805,C160081
LM5017 100V sync COT buck,U101,SOIC-8-EP_LM5017_TI-MRA08B,C34355
LMG1020 5V GaN driver 7A/5A,U201,BGA-6_L1.3-W0.8-P0.40-TL_PTMAG3001A2YBGR,C6423790
