Designator,Mid X,Mid Y,Layer,Rotation
C101,21.6350,-66.3350,Top,0.0000
C102,21.6350,-92.3350,Top,0.0000
C103,18.6350,-43.3350,Top,0.0000
C104,18.6350,-47.3350,Top,0.0000
C105,48.9501,-90.9655,Top,270.0000
C106,51.6923,-78.9084,Top,90.0000
C107,51.3857,-91.6910,Top,0.0000
C108,45.5339,-93.4185,Top,0.0000
C109,44.1041,-87.4869,Top,0.0000
C110,44.0000,-75.2500,Top,90.0000
C111,47.0000,-77.0000,Top,0.0000
C201,30.7350,-61.0350,Top,0.0000
C202,30.7350,-62.3350,Top,0.0000
C204,44.4350,-61.3350,Top,90.0000
C207,37.6350,-42.3350,Top,0.0000
C208,42.6350,-42.3350,Top,0.0000
C209,37.6350,-46.8350,Top,0.0000
C210,42.6350,-46.8350,Top,0.0000
C211,37.6350,-51.3350,Top,0.0000
C212,42.6350,-51.3350,Top,0.0000
C213,30.7350,-59.4350,Top,0.0000
C301,63.6350,-77.3350,Top,0.0000
C302,63.6350,-80.3350,Top,0.0000
C303,63.6350,-83.3350,Top,0.0000
C304,63.6350,-86.3350,Top,0.0000
C305,63.6350,-89.3350,Top,0.0000
C306,63.6350,-92.3350,Top,0.0000
C307,63.6350,-95.3350,Top,0.0000
C310,114.4350,-84.3350,Top,0.0000
C311,114.4350,-89.3350,Top,0.0000
C312,114.4350,-94.3350,Top,0.0000
C313,114.4350,-99.3350,Top,0.0000
C314,114.4350,-104.3350,Top,0.0000
C315,114.4350,-109.3350,Top,0.0000
C316,114.4350,-114.3350,Top,0.0000
C317,121.4350,-79.3350,Top,0.0000
C319,121.4350,-89.3350,Top,0.0000
C320,63.6350,-104.3350,Top,0.0000
FB201,30.7350,-57.4350,Top,0.0000
J101,10.3350,-79.3350,Top,270.0000
J201,30.6350,-44.3350,Top,0.0000
J301,121.9350,-101.3350,Top,0.0000
L101,42.0919,-82.2807,Top,0.0000
L201,50.6350,-47.3350,Top,0.0000
L202,50.6350,-55.8350,Top,180.0000
Q201,38.1350,-62.2350,Top,0.0000
Q202,38.1350,-66.4350,Top,0.0000
R101,47.1930,-79.9550,Top,0.0000
R102,51.8674,-76.0774,Top,0.0000
R103,55.6616,-80.7092,Top,0.0000
R104,43.2500,-78.2500,Top,0.0000
R201,28.1350,-50.5350,Top,0.0000
R202,28.1350,-54.3350,Top,0.0000
R203,34.1350,-62.9100,Top,0.0000
R204,34.1350,-65.3100,Top,0.0000
R205,34.1350,-60.6100,Top,0.0000
R206,34.1350,-67.6100,Top,0.0000
U101,50.2500,-85.2500,Top,270.0000
U201,30.7350,-63.9100,Top,270.0000
