Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100uF 63V alu electrolytic","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD_1",21.635000,-66.335000,0.000000,top
"C102","100uF 63V alu electrolytic","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD_1",21.635000,-92.335000,0.000000,top
"C103","2.2uF 100V X7R 1206","C1206",18.635000,-43.335000,0.000000,top
"C104","2.2uF 100V X7R 1206","C1206",18.635000,-47.335000,0.000000,top
"C105","100nF 100V X7R 0603","C0603",48.950100,-90.965500,-90.000000,top
"C106","2.2uF 50V X7R 0805","C0805",51.692300,-78.908400,90.000000,top
"C107","10nF 100V X7R 0603","C0603",51.385700,-91.691000,0.000000,top
"C108","22uF 16V X7R 1206","C1206",45.533900,-93.418500,0.000000,top
"C109","100nF 100V X7R 0603","C0603",44.104100,-87.486900,0.000000,top
"C110","1nF 100V C0G 0603","C0603",44.000000,-75.250000,90.000000,top
"C111","100nF 100V X7R 0603","C0603",47.000000,-77.000000,0.000000,top
"C201","100nF 16V X7R 0402","C0402",30.735000,-61.035000,0.000000,top
"C202","10nF 25V X7R 0201","C0201",30.735000,-62.335000,0.000000,top
"C203","56pF 1kV C0G 1206","C1206",41.635000,-61.335000,90.000000,top
"C204","27pF 1kV C0G 1206","C1206",44.435000,-61.335000,90.000000,top
"C205","56pF 1kV C0G 1206","C1206",41.635000,-67.335000,-90.000000,top
"C206","56pF 1kV C0G 1206","C1206",44.435000,-67.335000,-90.000000,top
"C207","10nF 100V X7R 0603","C0603",37.635000,-42.335000,0.000000,top
"C208","10nF 100V X7R 0603","C0603",42.635000,-42.335000,0.000000,top
"C209","10nF 100V X7R 0603","C0603",37.635000,-46.835000,0.000000,top
"C210","10nF 100V X7R 0603","C0603",42.635000,-46.835000,0.000000,top
"C211","1nF 100V C0G 0603","C0603",37.635000,-51.335000,0.000000,top
"C212","1nF 100V C0G 0603","C0603",42.635000,-51.335000,0.000000,top
"C213","1uF 16V X7R 0603","C0603",30.735000,-59.435000,0.000000,top
"C301","56pF 1kV C0G 1206","C1206",63.635000,-77.335000,0.000000,top
"C302","56pF 1kV C0G 1206","C1206",63.635000,-80.335000,0.000000,top
"C303","56pF 1kV C0G 1206","C1206",63.635000,-83.335000,0.000000,top
"C304","56pF 1kV C0G 1206","C1206",63.635000,-86.335000,0.000000,top
"C305","56pF 1kV C0G 1206","C1206",63.635000,-89.335000,0.000000,top
"C306","56pF 1kV C0G 1206","C1206",63.635000,-92.335000,0.000000,top
"C307","56pF 1kV C0G 1206","C1206",63.635000,-95.335000,0.000000,top
"C308","56pF 1kV C0G 1206","C1206",63.635000,-98.335000,0.000000,top
"C309","56pF 1kV C0G 1206","C1206",63.635000,-101.335000,0.000000,top
"C310","56pF 1kV C0G 1206","C1206",114.435000,-84.335000,0.000000,top
"C311","56pF 1kV C0G 1206","C1206",114.435000,-89.335000,0.000000,top
"C312","56pF 1kV C0G 1206","C1206",114.435000,-94.335000,0.000000,top
"C313","56pF 1kV C0G 1206","C1206",114.435000,-99.335000,0.000000,top
"C314","56pF 1kV C0G 1206","C1206",114.435000,-104.335000,0.000000,top
"C315","56pF 1kV C0G 1206","C1206",114.435000,-109.335000,0.000000,top
"C316","56pF 1kV C0G 1206","C1206",114.435000,-114.335000,0.000000,top
"C317","56pF 1kV C0G 1206","C1206",121.435000,-79.335000,0.000000,top
"C318","56pF 1kV C0G 1206","C1206",121.435000,-84.335000,0.000000,top
"C319","27pF 1kV C0G 1206","C1206",121.435000,-89.335000,0.000000,top
"C320","27pF 1kV C0G 1206","C1206",63.635000,-104.335000,0.000000,top
"C321","27pF 1kV C0G 1206","C1206",63.635000,-107.335000,0.000000,top
"C322","27pF 1kV C0G 1206","C1206",121.435000,-94.335000,0.000000,top
"C323","27pF 1kV C0G 1206","C1206",121.435000,-109.335000,0.000000,top
"FB201","120R@100MHz bead 3A 30mohm","L0805",30.735000,-57.435000,0.000000,top
