Comment,Designator,Footprint,LCSC
100nF 50V X7R,"C1,C9",C0603,C14663
3.3nF 50V X7R,C2,C0603,C1613
10pF 50V C0G,C3,C0603,C106245
100uF 35V 80mOhm,C4,CAP-SMD_BD6.3-L6.5-W6.5-LS7.2-FD,C2982822
4.7uF 50V X7R,"C5,C6,C7,C8",C1206,C29823
22uF 25V X7R,"C10,C11,C12,C13,C14",C1210,C49118556
4.7uF 16V X7R,C15,C0805,C277499
470pF 1kV C0G,C16,C1206,C107177
GREEN,D1,LED0805-R-RD,C2297
BZT52C15 15V,D2,SOD-123_L2.7-W1.6-LS3.7-RD,C173427
5A slow-blow,F1,Fuse_1206_C1T_BelVendorLand,C3163312
SCREW_5.08_2P,"J1,J2",CONN-TH_2P-P5.08_DB128L-5.08-2P,C395868
6.8uH,L1,IND-SMD_L11.5-W10.0,C5298292
AO4407A,Q1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C16072
100k 1%,R1,R0603,C25803
105k 1%,R2,R0603,C16840
24.0k 1%,R3,R0603,C23352
200k 1%,R4,R0603,C25811
75k 1%,R5,R0603,C23242
105k 0.1%,R6,R0603,C491109
20.0k 0.1%,R7,R0603,C723637
2.2k 1%,R8,R0603,C4190
22R 1% 0.25W,R9,R1206,C17958
AP64350SP-13,U1,SO-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,C2071691
