Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF 50V X7R","C0603",41.720000,-43.625000,0.000000,top
"C2","3.3nF 50V X7R","C0603",40.220000,-55.025000,180.000000,top
"C3","10pF 50V C0G","C0603",46.220000,-55.025000,180.000000,top
"C4","100uF 35V 80mOhm","CAP-SMD_BD6.3-L6.5-W6.5-LS7.2-FD",36.220000,-69.225000,180.000000,top
"C5","4.7uF 50V X7R","C1206",35.720000,-41.825000,180.000000,top
"C6","4.7uF 50V X7R","C1206",35.720000,-44.825000,180.000000,top
"C7","4.7uF 50V X7R","C1206",35.720000,-47.825000,180.000000,top
"C8","4.7uF 50V X7R","C1206",35.720000,-50.825000,180.000000,top
"C9","100nF 50V X7R","C0603",39.320000,-48.060000,90.000000,top
"C10","22uF 25V X7R","C1210",67.220000,-46.725000,0.000000,top
"C11","22uF 25V X7R","C1210",67.220000,-50.225000,0.000000,top
"C12","22uF 25V X7R","C1210",53.220000,-55.025000,0.000000,top
"C13","22uF 25V X7R","C1210",59.220000,-52.575000,0.000000,top
"C14","22uF 25V X7R","C1210",56.720000,-59.225000,0.000000,top
"C15","4.7uF 16V X7R","C0805",64.720000,-64.225000,0.000000,top
"C16","470pF 1kV C0G","C1206",42.720000,-40.425000,180.000000,top
"D1","GREEN","LED0805-R-RD",63.720000,-69.725000,180.000000,top
"D2","BZT52C15 15V","SOD-123_L2.7-W1.6-LS3.7-RD",43.620000,-60.825000,180.000000,top
"F1","5A slow-blow","Fuse_1206_C1T_BelVendorLand",36.220000,-56.225000,-90.000000,top
"J1","SCREW_5.08_2P","CONN-TH_2P-P5.08_DB128L-5.08-2P",28.220000,-57.225000,-90.000000,top
"J2","SCREW_5.08_2P","CONN-TH_2P-P5.08_DB128L-5.08-2P",67.220000,-57.225000,90.000000,top
"L1","6.8uH","IND-SMD_L11.5-W10.0",55.920000,-45.225000,0.000000,top
"Q1","AO4407A","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",37.220000,-62.725000,90.000000,top
"R1","100k 1%","R0603",42.720000,-63.725000,0.000000,top
"R2","105k 1%","R0603",41.720000,-57.425000,0.000000,top
"R3","24.0k 1%","R0603",44.720000,-57.425000,0.000000,top
"R4","200k 1%","R0603",39.320000,-51.125000,90.000000,top
"R5","75k 1%","R0603",43.220000,-55.025000,180.000000,top
"R6","105k 0.1%","R0603",49.220000,-52.425000,180.000000,top
"R7","20.0k 0.1%","R0603",48.720000,-57.225000,0.000000,top
"R8","2.2k 1%","R0603",59.720000,-69.725000,0.000000,top
"R9","22R 1% 0.25W","R1206",47.420000,-42.425000,90.000000,top
"U1","AP64350SP-13","SO-8_L4.9-W3.9-P1.27-LS6.0-BL-EP",44.320000,-48.625000,-90.000000,top
