Comment,Designator,Footprint,LCSC
100nF 50V X7R,"C1,C2,C3,C9",C0603,C14663
1uF 50V X5R,C4,C0603,C15849
22uF 16V tantalum,C5,CASE-B_3528,C8020
10uF 25V X5R,"C6,C11",C0805,C15850
22pF 50V C0G,"C7,C8",C0603,C1653
10nF 50V X7R,C10,C0603,C57112
SS34,D1,SMA_L4.3-W2.6-LS5.2-RD,C8678
Red 0805,D2,LED0805-RD,C84256
1x2 2.54mm male THT,J1,HDR-TH_2P-P2.54-V-M-3,C32713268
1x4 2.54mm male THT,J2,HDR-TH_4P-P2.54-V-M,C32713270
1k,R1,R0603,C21190
10k,R2,R0603,C25804
STM32F103C8T6,U1,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,C8734
AMS1117-3.3,U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186
8MHz 20pF,Y1,CRYSTAL-SMD_L11.5-W4.8-LS12.7,C12674
