Designator,Mid X,Mid Y,Layer,Rotation
C1,44.1511,-30.7102,Top,90.0000
C2,53.2989,-42.1528,Top,270.0000
C3,54.5028,-33.0011,Top,0.0000
C4,41.7354,-40.7014,Top,180.0000
C5,22.6889,-22.6000,Top,180.0000
C6,26.0983,-25.4853,Top,180.0000
C7,40.9752,-36.8000,Top,0.0000
C8,37.6748,-36.0000,Top,0.0000
C9,35.5000,-33.4500,Top,90.0000
C10,41.5041,-38.6870,Top,180.0000
C11,42.8286,-26.9170,Top,90.0000
D1,16.7500,-29.0000,Top,180.0000
D2,47.2500,-19.7950,Top,180.0000
J1,14.1200,-25.8549,Top,0.0000
J2,52.3000,-26.4550,Top,0.0000
R1,40.6500,-27.9870,Top,90.0000
R2,48.1000,-31.0000,Top,180.0000
U1,49.3000,-37.0000,Top,180.0000
U2,30.0500,-21.4000,Top,0.0000
Y1,32.5000,-39.6500,Top,0.0000
