Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF 50V X7R","C0603",44.151100,-30.710200,90.000000,top
"C2","100nF 50V X7R","C0603",53.298900,-42.152800,-90.000000,top
"C3","100nF 50V X7R","C0603",54.502800,-33.001100,0.000000,top
"C4","1uF 50V X5R","C0603",41.735400,-40.701400,180.000000,top
"C5","22uF 16V tantalum","CASE-B_3528",22.688900,-22.600000,180.000000,top
"C6","10uF 25V X5R","C0805",26.098300,-25.485300,180.000000,top
"C7","22pF 50V C0G","C0603",40.975200,-36.800000,0.000000,top
"C8","22pF 50V C0G","C0603",37.674800,-36.000000,0.000000,top
"C9","100nF 50V X7R","C0603",35.500000,-33.450000,90.000000,top
"C10","10nF 50V X7R","C0603",41.504100,-38.687000,180.000000,top
"C11","10uF 25V X5R","C0805",42.828600,-26.917000,90.000000,top
"D1","SS34","SMA_L4.3-W2.6-LS5.2-RD",16.750000,-29.000000,180.000000,top
"D2","Red 0805","LED0805-RD",47.250000,-19.795000,180.000000,top
"J1","1x2 2.54mm male THT","HDR-TH_2P-P2.54-V-M-3",14.120000,-25.854900,0.000000,top
"J2","1x4 2.54mm male THT","HDR-TH_4P-P2.54-V-M",52.300000,-26.455000,0.000000,top
"R1","1k","R0603",40.650000,-27.987000,90.000000,top
"R2","10k","R0603",48.100000,-31.000000,180.000000,top
"U1","STM32F103C8T6","LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL",49.300000,-37.000000,-90.000000,top
"U2","AMS1117-3.3","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR",30.050000,-21.400000,180.000000,top
"Y1","8MHz 20pF","CRYSTAL-SMD_L11.5-W4.8-LS12.7",32.500000,-39.650000,0.000000,top
