Comment,Designator,Qty Per Board,Footprint,MPN,LCSC,Assembly Class,Instructions
10uF 25V X5R,C1,1,C0805,,C15850,smt_placed,
100nF 50V X7R,"C2,C3,C12,C13,C14,C16,C18,C19",8,C0603,,C14663,smt_placed,
22uF 25V X5R,"C4,C5",2,C0805,,C45783,smt_placed,
22pF 50V C0G,"C10,C11",2,C0603,,C1653,smt_placed,
4.7uF 16V X5R,C15,1,C0603,,C19666,smt_placed,
1uF 50V X5R,C17,1,C0603,,C15849,smt_placed,
Red 0603,D1,1,LED-SMD_L1.6-W0.8-R-RD,,C2286,smt_placed,
USB Micro-B receptacle SMD,J1,1,USB-SMD_USB-111FD-B-SU,,C2939564,smt_placed,
1x4 2.54mm male THT,J2,1,HDR-TH_4P-P2.54-V-M,,C32713270,smt_placed,
4.7uH,L1,1,IND-SMD_L4.0-W4.0,,C354587,smt_placed,
1k,R1,1,R0603,,C21190,smt_placed,
10k,"R2,R3",2,R0603,,C25804,smt_placed,
1.5k,R4,1,R0603,,C22843,smt_placed,
SMD tactile switch,SW1,1,SW-SMD_4P-L3.0-W2.6-P1.80-LS3.4-TL,,C49023761,smt_placed,
STM32F103C8T6,U1,1,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,,C8734,smt_placed,
AP63203QWU-7,U2,1,TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL,,C5248536,smt_placed,
USBLC6-2SC6,U3,1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,C2687116,smt_placed,
8MHz 20pF,Y1,1,CRYSTAL-SMD_L11.5-W4.8-LS12.7,,C12674,smt_placed,
