Comment,Designator,Footprint,LCSC
10uF 25V X5R,C1,C0805,C15850
100nF 50V X7R,"C2,C3,C12,C13,C14,C16,C18,C19",C0603,C14663
22uF 25V X5R,"C4,C5",C0805,C45783
22pF 50V C0G,"C10,C11",C0603,C1653
4.7uF 16V X5R,C15,C0603,C19666
1uF 50V X5R,C17,C0603,C15849
Red 0603,D1,LED-SMD_L1.6-W0.8-R-RD,C2286
USB Micro-B receptacle SMD,J1,USB-SMD_USB-111FD-B-SU,C2939564
1x4 2.54mm male THT,J2,HDR-TH_4P-P2.54-V-M,C32713270
4.7uH,L1,IND-SMD_L4.0-W4.0,C354587
1k,R1,R0603,C21190
10k,"R2,R3",R0603,C25804
1.5k,R4,R0603,C22843
SMD tactile switch,SW1,SW-SMD_4P-L3.0-W2.6-P1.80-LS3.4-TL,C49023761
STM32F103C8T6,U1,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,C8734
AP63203QWU-7,U2,TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL,C5248536
USBLC6-2SC6,U3,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C2687116
8MHz 20pF,Y1,CRYSTAL-SMD_L11.5-W4.8-LS12.7,C12674
