Designator,Mid X,Mid Y,Layer,Rotation
C1,34.7000,-22.5000,Top,90.0000
C2,32.5000,-22.5000,Top,90.0000
C3,27.0000,-20.6000,Top,90.0000
C4,25.5000,-16.0000,Top,180.0000
C5,34.5000,-16.0000,Top,0.0000
C10,46.0000,-38.8500,Top,0.0000
C11,46.0000,-29.9500,Top,0.0000
C12,28.2500,-26.8000,Top,90.0000
C13,24.3000,-37.6000,Top,90.0000
C14,33.7500,-41.0000,Top,270.0000
C15,33.7500,-44.2000,Top,270.0000
C16,37.7000,-33.3000,Top,270.0000
C17,34.6000,-26.8000,Top,90.0000
C18,37.7000,-38.3000,Top,270.0000
C19,37.1000,-26.2000,Top,0.0000
D1,41.0000,-49.5000,Top,0.0000
J1,15.1000,-33.9200,Top,270.0000
J2,55.1000,-33.9200,Top,180.0000
L1,30.0000,-17.5500,Top,90.0000
R1,45.8000,-49.5000,Top,0.0000
R2,29.0000,-49.5000,Top,0.0000
R3,30.0000,-41.5000,Top,270.0000
R4,22.0000,-37.6000,Top,90.0000
SW1,24.0000,-49.5000,Top,0.0000
U1,31.0000,-33.9200,Top,0.0000
U2,30.0000,-22.5000,Top,0.0000
U3,20.2500,-34.2500,Top,90.0000
Y1,41.5000,-34.4000,Top,90.0000
