Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF 25V X5R","C0805",34.700000,-22.500000,90.000000,top
"C2","100nF 50V X7R","C0603",32.500000,-22.500000,90.000000,top
"C3","100nF 50V X7R","C0603",27.000000,-20.600000,90.000000,top
"C4","22uF 25V X5R","C0805",25.500000,-16.000000,180.000000,top
"C5","22uF 25V X5R","C0805",34.500000,-16.000000,0.000000,top
"C10","22pF 50V C0G","C0603",46.000000,-38.850000,0.000000,top
"C11","22pF 50V C0G","C0603",46.000000,-29.950000,0.000000,top
"C12","100nF 50V X7R","C0603",28.250000,-26.800000,90.000000,top
"C13","100nF 50V X7R","C0603",24.300000,-37.600000,90.000000,top
"C14","100nF 50V X7R","C0603",33.750000,-41.000000,-90.000000,top
"C15","4.7uF 16V X5R","C0603",33.750000,-44.200000,-90.000000,top
"C16","100nF 50V X7R","C0603",37.700000,-33.300000,-90.000000,top
"C17","1uF 50V X5R","C0603",34.600000,-26.800000,90.000000,top
"C18","100nF 50V X7R","C0603",37.700000,-38.300000,-90.000000,top
"C19","100nF 50V X7R","C0603",37.100000,-26.200000,0.000000,top
"D1","Red 0603","LED-SMD_L1.6-W0.8-R-RD",41.000000,-49.500000,0.000000,top
"J1","USB Micro-B receptacle SMD","USB-SMD_USB-111FD-B-SU",15.100000,-33.920000,-90.000000,top
"J2","1x4 2.54mm male THT","HDR-TH_4P-P2.54-V-M",55.100000,-33.920000,180.000000,top
"L1","4.7uH","IND-SMD_L4.0-W4.0",30.000000,-17.550000,90.000000,top
"R1","1k","R0603",45.800000,-49.500000,0.000000,top
"R2","10k","R0603",29.000000,-49.500000,0.000000,top
"R3","10k","R0603",30.000000,-41.500000,-90.000000,top
"R4","1.5k","R0603",22.000000,-37.600000,90.000000,top
"SW1","SMD tactile switch","SW-SMD_4P-L3.0-W2.6-P1.80-LS3.4-TL",24.000000,-49.500000,0.000000,top
"U1","STM32F103C8T6","LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL",31.000000,-33.920000,90.000000,top
"U2","AP63203QWU-7","TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL",30.000000,-22.500000,0.000000,top
"U3","USBLC6-2SC6","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",20.250000,-34.250000,-90.000000,top
"Y1","8MHz 20pF","CRYSTAL-SMD_L11.5-W4.8-LS12.7",41.500000,-34.400000,90.000000,top
